x,y_spline,y_exact
-2.0000,2.000000,2.000000
-1.9500,1.957125,1.950000
-1.9000,1.914143,1.900000
-1.8500,1.870946,1.850000
-1.8000,1.827429,1.800000
-1.7500,1.783482,1.750000
-1.7000,1.739000,1.700000
-1.6500,1.693875,1.650000
-1.6000,1.648000,1.600000
-1.5500,1.601268,1.550000
-1.5000,1.553571,1.500000
-1.4500,1.504804,1.450000
-1.4000,1.454857,1.400000
-1.3500,1.403625,1.350000
-1.3000,1.351000,1.300000
-1.2500,1.296875,1.250000
-1.2000,1.241143,1.200000
-1.1500,1.183696,1.150000
-1.1000,1.124429,1.100000
-1.0500,1.063232,1.050000
-1.0000,1.000000,1.000000
-0.9500,0.934732,0.950000
-0.9000,0.867857,0.900000
-0.8500,0.799911,0.850000
-0.8000,0.731429,0.800000
-0.7500,0.662946,0.750000
-0.7000,0.595000,0.700000
-0.6500,0.528125,0.650000
-0.6000,0.462857,0.600000
-0.5500,0.399732,0.550000
-0.5000,0.339286,0.500000
-0.4500,0.282054,0.450000
-0.4000,0.228571,0.400000
-0.3500,0.179375,0.350000
-0.3000,0.135000,0.300000
-0.2500,0.095982,0.250000
-0.2000,0.062857,0.200000
-0.1500,0.036161,0.150000
-0.1000,0.016429,0.100000
-0.0500,0.004196,0.050000
0.0000,0.000000,0.000000
0.0500,0.004196,0.050000
0.1000,0.016429,0.100000
0.1500,0.036161,0.150000
0.2000,0.062857,0.200000
0.2500,0.095982,0.250000
0.3000,0.135000,0.300000
0.3500,0.179375,0.350000
0.4000,0.228571,0.400000
0.4500,0.282054,0.450000
0.5000,0.339286,0.500000
0.5500,0.399732,0.550000
0.6000,0.462857,0.600000
0.6500,0.528125,0.650000
0.7000,0.595000,0.700000
0.7500,0.662946,0.750000
0.8000,0.731429,0.800000
0.8500,0.799911,0.850000
0.9000,0.867857,0.900000
0.9500,0.934732,0.950000
1.0000,1.000000,1.000000
1.0500,1.063232,1.050000
1.1000,1.124429,1.100000
1.1500,1.183696,1.150000
1.2000,1.241143,1.200000
1.2500,1.296875,1.250000
1.3000,1.351000,1.300000
1.3500,1.403625,1.350000
1.4000,1.454857,1.400000
1.4500,1.504804,1.450000
1.5000,1.553571,1.500000
1.5500,1.601268,1.550000
1.6000,1.648000,1.600000
1.6500,1.693875,1.650000
1.7000,1.739000,1.700000
1.7500,1.783482,1.750000
1.8000,1.827429,1.800000
1.8500,1.870946,1.850000
1.9000,1.914143,1.900000
1.9500,1.957125,1.950000
2.0000,2.000000,2.000000
