storage,swap_chance,seconds,inc_iters,dec_iters,eq_iters,swap_iters,swaps,total_iters,total_iters_per_sec,swaps_per_sec,impl
1000,0,5,30555,30501,30513,103121,0,194690,38938.0,0.0,mutex
1000,0,5,29770,31107,31339,83114,0,175330,35066.0,0.0,rwlock
1000,0,5,23002,674,6846,123866,0,154388,30877.6,0.0,spin
1000,1,5,34403,34051,34295,124221,1240773,226970,45394.0,248154.6,mutex
1000,1,5,30794,30831,30375,81047,808430,173047,34609.4,161686.0,rwlock
1000,1,5,657,17267,15167,99994,997369,133085,26617.0,199473.8,spin
1000,10,5,35636,35670,35937,137400,13707117,244643,48928.6,2741423.4,mutex
1000,10,5,28706,28866,28644,81351,8117414,167567,33513.4,1623482.8,rwlock
1000,10,5,7403,502,7469,46401,4631743,61775,12355.0,926348.6,spin
1000,50,5,24314,23471,23904,123275,61508695,194964,38992.8,12301739.0,mutex
1000,50,5,22160,22025,21971,65557,32707684,131713,26342.6,6541536.8,rwlock
1000,50,5,607,3383,5013,27351,13644608,36354,7270.8,2728921.6,spin
1000,90,5,16185,16217,15461,92349,82950566,140212,28042.4,16590113.2,mutex
1000,90,5,17921,18045,18185,53541,48087783,107692,21538.4,9617556.6,rwlock
1000,90,5,1912,470,1629,13441,12068354,17452,3490.4,2413670.8,spin
10000,0,5,4122,4195,4062,29359,0,41738,8347.6,0.0,mutex
10000,0,5,4168,4203,4161,12892,0,25424,5084.8,0.0,rwlock
10000,0,5,386,712,281,6360,0,7739,1547.8,0.0,spin
10000,1,5,3851,3416,3812,23536,2354729,34615,6923.0,470945.8,mutex
10000,1,5,3576,3571,3563,11198,1119714,21908,4381.6,223942.8,rwlock
10000,1,5,640,365,917,6178,617021,8100,1620.0,123404.2,spin
10000,10,5,3502,3976,4449,23878,23867176,35805,7161.0,4773435.2,mutex
10000,10,5,3203,3217,3214,10097,10094609,19731,3946.2,2018921.8,rwlock
10000,10,5,836,324,739,5360,5356992,7259,1451.8,1071398.4,spin
10000,50,5,2552,2442,2504,13835,69164847,21333,4266.6,13832969.4,mutex
10000,50,5,2386,2386,2389,7425,37106794,14586,2917.2,7421358.8,rwlock
10000,50,5,377,1002,666,4463,22303859,6508,1301.6,4460771.8,spin
10000,90,5,1942,1978,1938,10260,92317325,16118,3223.6,18463465.0,mutex
10000,90,5,2165,2163,2171,6594,59322543,13093,2618.6,11864508.6,rwlock
10000,90,5,791,876,399,4197,37753305,6263,1252.6,7550661.0,spin
100000,0,5,549,572,550,2663,0,4334,866.8,0.0,mutex
100000,0,5,454,449,455,1446,0,2804,560.8,0.0,rwlock
100000,0,5,481,426,502,2102,0,3511,702.2,0.0,spin
100000,1,5,435,437,446,1890,1889345,3208,641.6,377869.0,mutex
100000,1,5,378,383,374,1216,1214187,2351,470.2,242837.4,rwlock
100000,1,5,476,403,452,1866,1863285,3197,639.4,372657.0,spin
100000,10,5,341,346,353,1368,13678524,2408,481.6,2735704.8,mutex
100000,10,5,306,300,303,973,9713952,1882,376.4,1942790.4,rwlock
100000,10,5,403,419,410,1433,14313701,2665,533.0,2862740.2,spin
100000,50,5,297,301,301,1156,57795163,2055,411.0,11559032.6,mutex
100000,50,5,254,257,254,799,39819118,1564,312.8,7963823.6,rwlock
100000,50,5,329,327,330,1060,52895510,2046,409.2,10579102.0,spin
100000,90,5,255,260,258,931,83786397,1704,340.8,16757279.4,mutex
100000,90,5,197,199,200,616,55401699,1212,242.4,11080339.8,rwlock
100000,90,5,263,265,264,854,76727014,1646,329.2,15345402.8,spin
